	name	time
0	Deep Learning Feature Extraction Based Coherent Processing Interval Applied to Target Detection with Complex Sea Surface using SAR Images 基於深度學習同調處理區間技術之SAR影像特徵萃取應用於複雜海面目標物偵測研究	08/01/2022 - 07/31/2023
1	High Performance GPU Based Deep Learning Applied to the SAR Imaging Simulation and Database Construction for Environment and Disaster Prevention 高效能GPU深度學習實現SAR成像模擬與資料庫建置應用於環境及防災研究(總計畫及子計畫一)(1/3)	05/01/2022 - 04/30/2023
2	The Strategy Alliance of Artificial Intelligence Applied to Dentistry Education and Clinical 人工智慧牙醫學教育與臨床應用策略聯盟(1/3)	02/01/2022 - 01/31/2023
3	Deep Learning Face Recognition Applied to Dormitory Management of Industrial Migrant Workers During COVID-19 Pandemic (針對新冠疫情以深度學習人臉辨識為基礎之產業移工宿舍群聚管理)	11/01/2021 - 10/31/2022
4	High Performance GPU Applied to SAR Imaging Implemented by Physical Optics Method for Landslide Susceptibility Assessment (X-band SAR的應用研究--高效能GPU實現物理光學合成孔徑雷達SAR成像應用於崩塌估算研究))-總計畫及子計畫二	05/01/2021 - 04/30/2022
5	Comparative Analysis between SAR Image and Deep Learning Layers for Image Feature Extraction of Target Detection (合成孔徑雷達SAR影像目標辨識與深度學習特徵萃取對比分析研究 )	08/01/2021 - 07/31/2022
6	High-Performance Deep Learning Applied to Dynamic Flood Simulation and Prediction using Geology SAR Remote Sensing and Rainfall Information (高效能深度學習結合SAR地質遙測與雨量資訊應用於動態淹水模擬預測)	08/01/2020 - 07/31/2021
7	High Performance GPU-based Deep Learning Applied to Intelligence Detection of Taiwan Rice Fields Using SAR Images (高效能GPU合成孔徑雷達影像結合深度學習應用於台灣稻田智慧偵測)	08/01/2019 - 07/31/2020
8	Multiple Earth Observation Images Information Extraction and Application Technology Development using Artificial Intelligence (運用人工智慧之多元地球觀測影像萃取及應用技術研究) Trid Pacific Inc. (創宇航太科技)	05/01/2018 - 04/30/2019
9	High-Performance Software Defined Data Center Based Deep Learning Approach to Monitoring Land Subsidence Using DInSAR (高效能軟體定義資料中心為基礎之DInSAR深度學習技術應用於地層下陷研究)	08/01/2018 - 07/31/2019
10	Study of marine target classification using fully polarimetric SAR data (全偏極合成孔徑雷達於海洋目標分類之研究)	08/01/2018 - 07/31/2019
11	High Performance CIE-Lab Color Encoding for Decomposed Fully Polarimetric SAR Images Applied to Landslide Analysis (高效能全極化合成孔徑雷達SAR 遙測影像CIE-Lab 色彩空間方法應用於崩塌地判釋)	08/01/2017 - 07/31/2018
12	Enhancement of marine target detection in SAR images by an effective hierarchical approach (應用高效能階層法於SAR影像海洋多元目標偵測之優化研究)	08/01/2017 - 07/31/2018
13	High Performance 2-Dimensional Phase Unwrapping Approach to Ground-Based Synthetic Aperture Radar Images (高效能精進二維相位展開應用於陸基SAR影像)	08/01/2016 - 07/31/2017
14	High Performance GPU Acceleration Applied to DInSAR De-coherence based on Interpolation Method of Adaptive Local Kriging (高效能GPU計算局部自適應Kriging內插法解決DInSAR不同調資料問題)	08/01/2016 - 07/31/2017
15	The 12th International Conference on Space	11/24/2016 - 11/25/2016
16	Interactive Exploded Views for Architecture Modeling (建築模型互動分解視圖)	08/01/2016 - 07/31/2017
17	Marine targets detection in SAR images using adaptive filtering and segmentation techniques(結合適應性濾波和影像切割技術於SAR影像海洋多元目標偵測之研究)	08/01/2016 - 07/31/2017
18	High performance incenter-based nearest feature space classification approach to landslide susceptibility assessment using the fusion of remote sensing data (高效能最鄰近特徵內切圓分類應用遙測影像資料融合於坡地崩塌潛勢之研究) 	08/01/2015 - 07/31/2016
19	Architecture Modeling and Interactive Shape Editing using Shape Grammars (營造法式形狀文法互動式形狀編輯) 	08/01/2015 - 07/31/2016
20	An Enhanced Adaptive Filtering based on Generalized Sidelobe Canceller for Target Detection of Hyperspectral Images (適應性 GSC 濾波法於高頻譜影像目標物偵測之優化研究) 	08/01/2015 - 07/31/2016
21	High Performance GPU Acceleration on Remote Sensing Synthetic Aperture Radar Image Focusing (高效能GPU技術應用於遙測SAR合成孔徑雷達即時成像研究) 	08/01/2014 - 07/31/2015
22	A Study of Adaptive Filtering based on Generalized Sidelobe Canceller for Target Detection of Hyperspectral Images (適應性GSC濾波法於高頻譜影像目標物偵測之研究) 	08/01/2014 - 07/31/2015
23	Architecture Modeling and Build Large Wooden Model Technology (營造法式大木作模型技術研究) 	08/01/2014 - 07/31/2015
